ENT,REGION,EDAD_V,P5_21,P6_12,target,EDAD_V_unknown,P5_19_unknown,P5_21_unknown,P5_21_top,P6_12_no_response,P6_12_unknown,P6_12_top,target_no_response,target_unknown,target_log,P5_19A_unknown,salario_mensual,salario_mensual_unknown,ratio_gasto_ingreso,ahorro
1,2,48.0,3200.0,2000.0,100.0,False,False,False,False,False,False,False,False,False,4.61512051684126,True,7950.0,True,0.40246509872971953,4750.0
1,2,27.0,7000.0,5000.0,500.0,False,False,False,False,False,False,False,False,False,6.2166061010848646,False,7200.0,False,0.972087210109707,200.0
1,2,24.0,3000.0,5000.0,1600.0,False,False,False,False,False,False,False,False,False,7.3783837129967145,False,6000.0,False,0.4999166805532411,3000.0
1,2,20.0,1400.0,1000.0,200.0,False,False,False,False,False,False,False,False,False,5.303304908059076,False,8800.0,False,0.15907283263265537,7400.0
1,2,22.0,7200.0,3000.0,400.0,False,False,False,False,False,False,False,False,False,5.993961427306569,False,7200.0,False,0.9998611303985557,0.0
1,2,38.0,5800.0,6000.0,600.0,False,False,False,False,False,False,False,False,False,6.398594934535208,False,6000.0,False,0.9665055824029328,200.0
1,2,30.0,4000.0,2000.0,250.0,False,False,False,False,False,False,False,False,False,5.5254529391317835,False,6000.0,False,0.6665555740709882,2000.0
1,2,22.0,5400.0,800000.0,2500.0,False,True,True,False,False,False,False,False,False,7.824445930877619,True,7950.0,True,0.6791598541064017,2550.0
1,2,46.0,7000.0,5000.0,600.0,False,False,False,False,False,False,False,False,False,6.398594934535208,False,10400.0,False,0.6730122103643881,3400.0
1,2,28.0,12000.0,10000.0,2000.0,False,False,False,False,False,False,False,False,False,7.601402334583733,False,12000.0,False,0.9999166736105325,0.0
1,2,18.0,2400.0,25000.0,1000.0,False,False,False,False,False,False,False,False,False,6.90875477931522,False,1600.0,False,1.499063085571518,-800.0
1,2,47.0,9000.0,50000.0,1500.0,False,False,False,False,False,False,False,False,False,7.313886831633462,False,8000.0,False,1.124859392575928,-1000.0
1,2,43.0,5600.0,20000.0,2000.0,False,False,False,False,False,False,False,False,False,7.601402334583733,False,5600.0,False,0.9998214604534904,0.0
